year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,worldpop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,totalpct,totregpct,version
1965,Africa,"20,608,952","28,626,956","9,117,352","5,727,195","34,020,771","98,101,226",0,0,0,"147,929","147,929","6,027,156",0,0,0,0,0,"50,640,232","56,667,388",0,0,"4,572","4,572",324,"548,874","25,853",0,"557,883",0,"28,913",0,"14,203","61,942,649","354,423","1,570,763","219,610,577","219,965,000","3,280,000,000",0.0937,0.1301,0.0414,0.026,0.1547,0.446,0,0,0,0.0007,0.0007,0.0274,0,0,0,0,0,0.2302,0.2576,0,0,0,0,0,0.0025,0.0001,0,0.0025,0,0.0001,0,0.0001,0.2816,0.0016,0.0071,0.9984,1,0.0671,1.1
1965,Asia,"21,008,991","48,324,442","1,857,898","4,513,000","9,780,318","85,484,649",0,0,0,"79,304","79,304","10,805,320","1,020,000",0,0,0,0,"263,388,381","275,213,701",0,"18,305,680","191,365,422","209,671,102","138,682","396,909,711","8,717,537","74,982,591","1,046,723","1,702,647","2,309,710","4,065,157","350,788,060","94,583,167","305,127,190","18,999,278","1,524,692,019","1,772,609,960","3,280,000,000",0.0119,0.0273,0.001,0.0025,0.0055,0.0482,0,0,0,0,0,0.0061,0.0006,0,0,0,0,0.1486,0.1553,0,0.0103,0.108,0.1183,0.0001,0.2239,0.0049,0.0423,0.0006,0.001,0.0013,0.0023,0.1979,0.0534,0.1721,0.0107,0.8601,1.0323,0.5404,1.1
1965,Europe,"87,270,229","243,240,445","107,031,360","29,346,138","9,288,584","476,176,756",0,0,0,"4,983,768","4,983,768",0,0,0,0,0,0,"36,814,738","36,814,738",0,0,"900,068","900,068",0,"191,110","152,295",0,"28,308",0,"3,125",0,"49,559","1,093,535","147,965,351","7,956,387","528,349,649","676,315,000","3,280,000,000",0.129,0.3597,0.1583,0.0434,0.0137,0.7041,0,0,0,0.0074,0.0074,0,0,0,0,0,0,0.0544,0.0544,0,0,0.0013,0.0013,0,0.0003,0.0002,0,0,0,0,0,0.0001,0.0016,0.2188,0.0118,0.7812,1,0.2062,1.1
1965,Mideast,"31,888","2,864,431","2,592,130","38,500","527,560","6,054,509","2,247,102","13,618","9,079","355,314","2,625,113","112,360,336","16,077,714","40,000",0,"598,115",0,"16,772,097","145,848,262",0,0,0,0,"9,938",0,0,0,"17,627",0,0,0,0,"2,995,006","47,680","2,156,865","159,707,320","159,755,000","3,280,000,000",0.0002,0.0179,0.0162,0.0002,0.0033,0.0379,0.0141,0.0001,0.0001,0.0022,0.0164,0.7033,0.1006,0.0003,0,0.0037,0,0.105,0.9129,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0.0187,0.0003,0.0135,0.9997,1,0.0487,1.1
1965,West. Hem,"105,517,643","291,058,747","5,355,754","5,461,806","1,502,696","408,896,646","1,048,530","1,746,727","2,338,997","1,283,311","6,417,565",0,0,0,0,0,0,"89,968","89,968",0,0,"2,017,642","2,017,642",0,"213,487",0,0,"8,350","2,000",0,"376,219","7,993,000","279,349","20,603,206","10,476,376","436,770,602","450,956,507","3,280,000,000",0.234,0.6454,0.0119,0.0121,0.0033,0.9067,0.0023,0.0039,0.0052,0.0028,0.0142,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0045,0.0045,0,0.0005,0,0,0,0,0,0.0008,0.0177,0.0006,0.0457,0.0232,0.9685,1.0142,0.1375,1.1
1970,Africa,"25,615,793","38,089,508","9,726,348","7,268,620","41,386,699","122,086,968",0,0,0,"151,537","151,537","7,474,780",0,0,0,0,0,"59,343,505","66,818,285",0,0,"11,299","11,299",472,"991,566","26,094",0,"701,507",0,"32,861",0,"17,679","63,335,604","446,303","916,825","255,090,697","255,537,000","3,655,000,000",0.1002,0.1491,0.0381,0.0284,0.162,0.4778,0,0,0,0.0006,0.0006,0.0293,0,0,0,0,0,0.2322,0.2615,0,0,0,0,0,0.0039,0.0001,0,0.0027,0,0.0001,0,0.0001,0.2479,0.0017,0.0036,0.9983,1,0.0699,1.1
1970,Asia,"23,692,514","54,128,278","2,196,653","4,894,990","17,824,360","102,736,795",0,0,0,"78,269","78,269","11,703,860","1,268,900",0,0,0,0,"305,478,789","318,451,549",0,"20,862,636","205,627,244","226,489,880","106,789","448,086,953","10,441,204","79,155,350","1,177,687","1,965,466","2,590,921","4,878,755","370,782,297","98,686,228","398,889,032","11,119,903","1,676,748,046","2,013,375,984","3,655,000,000",0.0118,0.0269,0.0011,0.0024,0.0089,0.051,0,0,0,0,0,0.0058,0.0006,0,0,0,0,0.1517,0.1582,0,0.0104,0.1021,0.1125,0.0001,0.2226,0.0052,0.0393,0.0006,0.001,0.0013,0.0024,0.1842,0.049,0.1981,0.0055,0.8328,1.0309,0.5509,1.1
1970,Europe,"87,380,610","248,209,651","112,215,607","29,225,607","11,248,267","488,279,742",0,0,0,"4,883,835","4,883,835",0,0,0,0,0,0,"38,264,883","38,264,883",0,0,"955,963","955,963",410,"242,896","199,719",0,"49,039",0,"4,000","1,004","62,146","1,047,415","162,011,668","7,126,528","541,117,580","703,129,248","3,655,000,000",0.1243,0.353,0.1596,0.0416,0.016,0.6944,0,0,0,0.0069,0.0069,0,0,0,0,0,0,0.0544,0.0544,0,0,0.0014,0.0014,0,0.0003,0.0003,0,0.0001,0,0,0,0.0001,0.0015,0.2304,0.0101,0.7696,1,0.1924,1.1
1970,Mideast,"36,181","2,696,173","4,103,446","87,580","1,340,824","8,264,204","2,517,669","15,258","10,172","41,135","2,584,234","132,085,364","35,303,241","374,000",0,"700,450",0,"27,000","168,490,055",0,0,0,0,0,"7,470",0,0,"96,033",0,0,0,0,"3,326,100","153,410","1,554,494","184,322,590","184,476,000","3,655,000,000",0.0002,0.0146,0.0222,0.0005,0.0073,0.0448,0.0136,0.0001,0.0001,0.0002,0.014,0.716,0.1914,0.002,0,0.0038,0,0.0001,0.9133,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0.018,0.0008,0.0084,0.9992,1,0.0505,1.1
1970,West. Hem,"111,207,132","327,882,930","6,353,581","4,603,045","5,191,279","455,237,967","1,146,052","1,908,728","2,564,626","1,516,128","7,135,534",0,0,0,0,0,0,"317,516","317,516",0,0,"1,345,492","1,345,492",0,"495,604","19,615","1,000","270,712","15,800",980,"407,172","8,294,607","613,877","27,337,768","5,541,211","479,697,087","498,934,000","3,655,000,000",0.2229,0.6572,0.0127,0.0092,0.0104,0.9124,0.0023,0.0038,0.0051,0.003,0.0143,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0027,0.0027,0,0.001,0,0,0.0005,0,0,0.0008,0.0166,0.0012,0.0548,0.0111,0.9614,1.0162,0.1365,1.1
