dyad,statelno,statelab,statehno,statehab,year,land,sea,total,version
2041,2,"USA",41,"HAI",1946,0,1,1,3.1
2041,2,"USA",41,"HAI",1947,0,1,1,3.1
2041,2,"USA",41,"HAI",1948,0,1,1,3.1
2041,2,"USA",41,"HAI",1949,0,1,1,3.1
2041,2,"USA",41,"HAI",1950,0,1,1,3.1
2041,2,"USA",41,"HAI",1951,0,1,1,3.1
2041,2,"USA",41,"HAI",1952,0,1,1,3.1
2041,2,"USA",41,"HAI",1953,0,1,1,3.1
2041,2,"USA",41,"HAI",1954,0,1,1,3.1
2041,2,"USA",41,"HAI",1955,0,1,1,3.1
2041,2,"USA",41,"HAI",1956,0,1,1,3.1
2041,2,"USA",41,"HAI",1957,0,1,1,3.1
2041,2,"USA",41,"HAI",1958,0,1,1,3.1
2041,2,"USA",41,"HAI",1959,0,1,1,3.1
2041,2,"USA",41,"HAI",1960,0,1,1,3.1
2041,2,"USA",41,"HAI",1961,0,1,1,3.1
2041,2,"USA",41,"HAI",1962,0,1,1,3.1
2041,2,"USA",41,"HAI",1963,0,1,1,3.1
2041,2,"USA",41,"HAI",1964,0,1,1,3.1
2041,2,"USA",41,"HAI",1965,0,1,1,3.1
2041,2,"USA",41,"HAI",1966,0,1,1,3.1
2041,2,"USA",41,"HAI",1967,0,1,1,3.1
2041,2,"USA",41,"HAI",1968,0,1,1,3.1
2041,2,"USA",41,"HAI",1969,0,1,1,3.1
2041,2,"USA",41,"HAI",1970,0,1,1,3.1
2041,2,"USA",41,"HAI",1971,0,1,1,3.1
2041,2,"USA",41,"HAI",1972,0,1,1,3.1
2041,2,"USA",41,"HAI",1973,0,1,1,3.1
2041,2,"USA",41,"HAI",1974,0,1,1,3.1
2041,2,"USA",41,"HAI",1975,0,1,1,3.1
2041,2,"USA",41,"HAI",1976,0,1,1,3.1
2041,2,"USA",41,"HAI",1977,0,1,1,3.1
2041,2,"USA",41,"HAI",1978,0,1,1,3.1
2041,2,"USA",41,"HAI",1979,0,1,1,3.1
2041,2,"USA",41,"HAI",1980,0,1,1,3.1
2041,2,"USA",41,"HAI",1981,0,1,1,3.1
2041,2,"USA",41,"HAI",1982,0,1,1,3.1
2041,2,"USA",41,"HAI",1983,0,1,1,3.1
2041,2,"USA",41,"HAI",1984,0,1,1,3.1
2041,2,"USA",41,"HAI",1985,0,1,1,3.1
2041,2,"USA",41,"HAI",1986,0,1,1,3.1
2041,2,"USA",41,"HAI",1987,0,1,1,3.1
2041,2,"USA",41,"HAI",1988,0,1,1,3.1
2041,2,"USA",41,"HAI",1989,0,1,1,3.1
2041,2,"USA",41,"HAI",1990,0,1,1,3.1
2041,2,"USA",41,"HAI",1991,0,1,1,3.1
2041,2,"USA",41,"HAI",1992,0,1,1,3.1
2041,2,"USA",41,"HAI",1993,0,1,1,3.1
2041,2,"USA",41,"HAI",1994,0,1,1,3.1
2041,2,"USA",41,"HAI",1995,0,1,1,3.1
2041,2,"USA",41,"HAI",1996,0,1,1,3.1
2041,2,"USA",41,"HAI",1997,0,1,1,3.1
2041,2,"USA",41,"HAI",1998,0,1,1,3.1
2041,2,"USA",41,"HAI",1999,0,1,1,3.1
2041,2,"USA",41,"HAI",2000,0,1,1,3.1
2041,2,"USA",41,"HAI",2001,0,1,1,3.1
2041,2,"USA",41,"HAI",2002,0,1,1,3.1
2041,2,"USA",41,"HAI",2003,0,1,1,3.1
2041,2,"USA",41,"HAI",2004,0,1,1,3.1
2041,2,"USA",41,"HAI",2005,0,1,1,3.1
2041,2,"USA",41,"HAI",2006,0,1,1,3.1
2041,2,"USA",41,"HAI",2007,0,1,1,3.1
2041,2,"USA",41,"HAI",2008,0,1,1,3.1
2041,2,"USA",41,"HAI",2009,0,1,1,3.1
2041,2,"USA",41,"HAI",2010,0,1,1,3.1
2041,2,"USA",41,"HAI",2011,0,1,1,3.1
2041,2,"USA",41,"HAI",2012,0,1,1,3.1
2041,2,"USA",41,"HAI",2013,0,1,1,3.1
2041,2,"USA",41,"HAI",2014,0,1,1,3.1
2041,2,"USA",41,"HAI",2015,0,1,1,3.1
2041,2,"USA",41,"HAI",2016,0,1,1,3.1
2042,2,"USA",42,"DOM",1898,0,1,1,3.1
2042,2,"USA",42,"DOM",1899,0,1,1,3.1
2042,2,"USA",42,"DOM",1900,0,1,1,3.1
2042,2,"USA",42,"DOM",1901,0,1,1,3.1
2042,2,"USA",42,"DOM",1902,0,1,1,3.1
2042,2,"USA",42,"DOM",1903,0,1,1,3.1
2042,2,"USA",42,"DOM",1904,0,1,1,3.1
2042,2,"USA",42,"DOM",1905,0,1,1,3.1
2042,2,"USA",42,"DOM",1906,0,1,1,3.1
2042,2,"USA",42,"DOM",1907,0,1,1,3.1
2042,2,"USA",42,"DOM",1908,0,1,1,3.1
2042,2,"USA",42,"DOM",1909,0,1,1,3.1
2042,2,"USA",42,"DOM",1910,0,1,1,3.1
2042,2,"USA",42,"DOM",1911,0,1,1,3.1
2042,2,"USA",42,"DOM",1912,0,1,1,3.1
2042,2,"USA",42,"DOM",1913,0,1,1,3.1
2042,2,"USA",42,"DOM",1914,0,1,1,3.1
2042,2,"USA",42,"DOM",1915,0,1,1,3.1
2042,2,"USA",42,"DOM",1916,0,1,1,3.1
2042,2,"USA",42,"DOM",1924,0,2,2,3.1
2042,2,"USA",42,"DOM",1925,0,2,2,3.1
2042,2,"USA",42,"DOM",1926,0,2,2,3.1
2042,2,"USA",42,"DOM",1927,0,2,2,3.1
2042,2,"USA",42,"DOM",1928,0,2,2,3.1
2042,2,"USA",42,"DOM",1929,0,2,2,3.1
2042,2,"USA",42,"DOM",1930,0,2,2,3.1
2042,2,"USA",42,"DOM",1931,0,2,2,3.1
2042,2,"USA",42,"DOM",1932,0,2,2,3.1
2042,2,"USA",42,"DOM",1933,0,2,2,3.1
2042,2,"USA",42,"DOM",1934,0,2,2,3.1
2042,2,"USA",42,"DOM",1935,0,2,2,3.1
2042,2,"USA",42,"DOM",1936,0,2,2,3.1
2042,2,"USA",42,"DOM",1937,0,2,2,3.1
2042,2,"USA",42,"DOM",1938,0,2,2,3.1
2042,2,"USA",42,"DOM",1939,0,2,2,3.1
2042,2,"USA",42,"DOM",1940,0,2,2,3.1
2042,2,"USA",42,"DOM",1941,0,2,2,3.1
2042,2,"USA",42,"DOM",1942,0,2,2,3.1
2042,2,"USA",42,"DOM",1943,0,2,2,3.1
2042,2,"USA",42,"DOM",1944,0,2,2,3.1
2042,2,"USA",42,"DOM",1945,0,2,2,3.1
2042,2,"USA",42,"DOM",1946,0,2,2,3.1
2042,2,"USA",42,"DOM",1947,0,2,2,3.1
2042,2,"USA",42,"DOM",1948,0,2,2,3.1
2042,2,"USA",42,"DOM",1949,0,2,2,3.1
2042,2,"USA",42,"DOM",1950,0,2,2,3.1
2042,2,"USA",42,"DOM",1951,0,2,2,3.1
2042,2,"USA",42,"DOM",1952,0,2,2,3.1
2042,2,"USA",42,"DOM",1953,0,2,2,3.1
2042,2,"USA",42,"DOM",1954,0,2,2,3.1
2042,2,"USA",42,"DOM",1955,0,2,2,3.1
2042,2,"USA",42,"DOM",1956,0,2,2,3.1
2042,2,"USA",42,"DOM",1957,0,2,2,3.1
2042,2,"USA",42,"DOM",1958,0,2,2,3.1
2042,2,"USA",42,"DOM",1959,0,2,2,3.1
2042,2,"USA",42,"DOM",1960,0,2,2,3.1
2042,2,"USA",42,"DOM",1961,0,2,2,3.1
2042,2,"USA",42,"DOM",1962,0,2,2,3.1
2042,2,"USA",42,"DOM",1963,0,2,2,3.1
2042,2,"USA",42,"DOM",1964,0,2,2,3.1
2042,2,"USA",42,"DOM",1965,0,2,2,3.1
2042,2,"USA",42,"DOM",1966,0,2,2,3.1
2042,2,"USA",42,"DOM",1967,0,2,2,3.1
2042,2,"USA",42,"DOM",1968,0,2,2,3.1
2042,2,"USA",42,"DOM",1969,0,2,2,3.1
2042,2,"USA",42,"DOM",1970,0,2,2,3.1
2042,2,"USA",42,"DOM",1971,0,2,2,3.1
2042,2,"USA",42,"DOM",1972,0,2,2,3.1
2042,2,"USA",42,"DOM",1973,0,2,2,3.1
2042,2,"USA",42,"DOM",1974,0,2,2,3.1
2042,2,"USA",42,"DOM",1975,0,2,2,3.1
